,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,3.0,3,3,C.Martin o8.5 Pts,charliedisturco,-110,1.1,2.1,0,Miami Heat,C.Martin,New York Knicks,1,1.0,0.4939759036144578,0.0,0.8,1.0,0.8,1.0
4,6.0,6,6,C.Martin o8.5 Pts,VegasRefund,-120,1.2,2.2,0,Miami Heat,C.Martin,New York Knicks,1,1.0000000000000002,0.4939759036144578,0.0,0.8,1.0,0.8,1.0
6,10.0,10,10,Q.Grimes u10.5 Pts,PropBomb,-125,1.0,1.8,0,New York Knicks,Q.Grimes,Miami Heat,0,0.8,0.620253164556962,1.0,1.0,1.0,0.8,1.0
7,12.0,12,12,C.Martin o8.5 Pts,PropBetGuy,-120,1.2,2.2,0,Miami Heat,C.Martin,New York Knicks,1,1.0000000000000002,0.4939759036144578,0.0,0.8,1.0,0.8,1.0
9,14.0,14,14,D.Schroder o10.5 Pts,charliedisturco,-120,1.2,2.2,0,Los Angeles Lakers,D.Schroder,Golden State Warriors,1,1.0000000000000002,0.5384615384615384,1.0,0.6,1.0,0.4,0.0
11,17.0,17,17,G.Payton u9.5 Pts,SBK5065,-120,0.5,0.9166666666666669,0,Golden State Warriors,G.Payton,Los Angeles Lakers,0,0.4166666666666668,0.7777777777777778,1.0,0.6,1.0,0.7,1.0
3,,3,3,C.Martin o8.5 Pts,charliedisturco,-110,1.1,2.1,0,Miami Heat,C.Martin,New York Knicks,1,1.0,,,,,,
6,,6,6,C.Martin o8.5 Pts,VegasRefund,-120,1.2,2.2,0,Miami Heat,C.Martin,New York Knicks,1,1.0000000000000002,,,,,,
10,,10,10,Q.Grimes u10.5 Pts,PropBomb,-125,1.0,1.8,0,New York Knicks,Q.Grimes,Miami Heat,0,0.8,,,,,,
12,,12,12,C.Martin o8.5 Pts,PropBetGuy,-120,1.2,2.2,0,Miami Heat,C.Martin,New York Knicks,1,1.0000000000000002,,,,,,
17,,17,17,G.Payton u9.5 Pts,SBK5065,-120,0.5,0.9166666666666669,0,Golden State Warriors,G.Payton,Los Angeles Lakers,0,0.4166666666666668,,,,,,
