,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
5,5,5,5,P.Banchero o2.5 Ast,SBK5065,-140,0.7,1.2,10.2692,Orlando Magic,P.Banchero,Milwaukee Bucks,1,0.5,,,,,,,,,
9,9,9,9,D.Murray u6.5 Ast,SBK5065,-130,0.65,1.15,10.2692,Atlanta Hawks,D.Murray,Oklahoma City Thunder,1,0.4999999999999999,,,,,,,,,
11,11,11,11,J.Giddey u6.5 Ast,SBK5065,-132,0.66,1.16,10.2692,Oklahoma City Thunder,J.Giddey,Atlanta Hawks,0,0.4999999999999999,,,,,,,,,
13,13,13,13,K.Lowry u6.5 Ast,SBK5065,-135,0.68,1.1837037037037037,10.2692,Miami Heat,K.Lowry,Memphis Grizzlies,0,0.5037037037037037,,,,,,,,,
15,15,15,15,J.Harden o7.5 Ast,SBK5065,-128,0.64,1.14,0.0,Philadelphia 76ers,J.Harden,Houston Rockets,0,0.4999999999999999,,,,,,,,,
0,0,0,0,M.Plumlee u4.5 Ast,SBK5065,-135,0.68,1.1837037037037037,10.2692,Charlotte Hornets,M.Plumlee,Los Angeles Clippers,1,0.5037037037037037,0.0,0.0,0.0,0.75,1.0,0.8,1.0,0.9,1.0
4,5,5,5,P.Banchero o2.5 Ast,SBK5065,-140,0.7,1.2,10.2692,Orlando Magic,P.Banchero,Milwaukee Bucks,1,0.5,4.0,4.0,5.0,0.8108108108108109,1.0,0.8,1.0,0.8,1.0
7,9,9,9,D.Murray u6.5 Ast,SBK5065,-130,0.65,1.15,10.2692,Atlanta Hawks,D.Murray,Oklahoma City Thunder,1,0.4999999999999999,7.0,7.0,9.0,0.631578947368421,1.0,1.0,1.0,0.7,1.0
9,11,11,11,J.Giddey u6.5 Ast,SBK5065,-132,0.66,1.16,10.2692,Oklahoma City Thunder,J.Giddey,Atlanta Hawks,0,0.4999999999999999,9.0,9.0,11.0,0.6923076923076923,1.0,0.4,0.0,0.6,1.0
10,13,13,13,K.Lowry u6.5 Ast,SBK5065,-135,0.68,1.1837037037037037,10.2692,Miami Heat,K.Lowry,Memphis Grizzlies,0,0.5037037037037037,10.0,10.0,13.0,0.6944444444444444,1.0,1.0,1.0,0.9,1.0
12,15,15,15,J.Harden o7.5 Ast,SBK5065,-128,0.64,1.14,0.0,Philadelphia 76ers,J.Harden,Houston Rockets,0,0.4999999999999999,12.0,12.0,15.0,0.8928571428571429,1.0,1.0,1.0,1.0,1.0
