,Unnamed: 0,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Correct
0,0,S.Dinwiddie o8.5 Ast,Brooklyn Nets,JoeDellera,-138,0.75,1.2934782608695654,0,S.Dinwiddie,Philadelphia 76ers,0,0.5434782608695654,0.5,0,0.8,1,0.8,1,N
1,1,S.Dinwiddie o8.5 Ast,Brooklyn Nets,SBK5065,-125,0.63,1.134,0,S.Dinwiddie,Philadelphia 76ers,0,0.5040000000000001,0.5,0,0.8,1,0.8,1,N
2,2,P.Tucker o0.5 3pt M,Philadelphia 76ers,GDAWG5000,-125,1.25,2.25,0,P.Tucker,Brooklyn Nets,1,1.0,0.52,1,0.6,1,0.5,0,Y
3,3,J.Harden u20.5 Pts,Philadelphia 76ers,JoeMetz,-110,1.1,2.1,0,J.Harden,Brooklyn Nets,1,1.0,0.5172413793103449,1,0.8,1,0.8,1,N
4,4,S.Bey o11.5 Pts,Atlanta Hawks,JoeDellera,-104,0.75,1.4711538461538465,0,S.Bey,Boston Celtics,0,0.7211538461538463,0.5769230769230769,1,0.6,1,0.6,1,N
5,5,O.Okongwu o14.5 Pts+Rebs,Atlanta Hawks,SBK5065,-120,0.6,1.1,0,O.Okongwu,Boston Celtics,0,0.5000000000000001,0.6172839506172839,1,0.8,1,0.9,1,N
6,6,S.Bey o11.5 Pts,Atlanta Hawks,charliedisturco,-115,1.15,2.1499999999999995,0,S.Bey,Boston Celtics,0,0.9999999999999996,0.5769230769230769,1,0.6,1,0.6,1,N
7,7,S.Bey o11.5 Pts,Atlanta Hawks,wheatonbrando,-104,1.0,1.9615384615384617,0,S.Bey,Boston Celtics,0,0.9615384615384616,0.5769230769230769,1,0.6,1,0.6,1,N
8,8,M.Brogdon o6.5 Rebs+Ast,Boston Celtics,PropBomb,-122,1.22,2.22,0,M.Brogdon,Atlanta Hawks,1,1.0000000000000002,0.7014925373134329,1,0.8,1,0.7,1,Y
9,11,E.Mobley o17.5 Pts+Ast,Cleveland Cavaliers,JoeDellera,-110,0.75,1.431818181818182,0,E.Mobley,New York Knicks,1,0.6818181818181819,0.6455696202531646,1,0.8,1,0.9,1,N
10,12,J.Brunson o24.5 Pts,New York Knicks,charliedisturco,-110,0.55,1.05,0,J.Brunson,Cleveland Cavaliers,0,0.5,0.4558823529411764,0,0.6,1,0.5,0,Y
11,13,E.Mobley o1.5 Blk,Cleveland Cavaliers,GDAWG5000,105,0.5,1.025,0,E.Mobley,New York Knicks,1,0.5249999999999999,0.4177215189873418,0,0.6,1,0.7,1,N
12,14,J.Brunson o5.5 Ast,New York Knicks,ChicagoFlow,-130,2.0,3.5384615384615383,0,J.Brunson,Cleveland Cavaliers,0,1.5384615384615383,0.5588235294117647,1,0.8,1,0.6,1,N
